Provider,BankType,Product,GeneralRate%,SeniorRate%,TenureYears,Source,SourceURL,RateDate,DataConfidence,ActiveStatus,Notes
Karur Vysya Bank,Private Sector Bank,Highest published slab,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Karur Vysya Bank,Private Sector Bank,1 Year,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Karur Vysya Bank,Private Sector Bank,3 Years,,,3.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Karur Vysya Bank,Private Sector Bank,5 Years,,,5.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Kotak Mahindra Bank,Private Sector Bank,Highest published slab,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Kotak Mahindra Bank,Private Sector Bank,1 Year,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Kotak Mahindra Bank,Private Sector Bank,3 Years,,,3.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Kotak Mahindra Bank,Private Sector Bank,5 Years,,,5.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Nainital Bank,Private Sector Bank,Highest published slab,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Nainital Bank,Private Sector Bank,1 Year,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Nainital Bank,Private Sector Bank,3 Years,,,3.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Nainital Bank,Private Sector Bank,5 Years,,,5.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
RBL Bank,Private Sector Bank,Highest published slab,7.2,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
RBL Bank,Private Sector Bank,1 Year,7.0,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
RBL Bank,Private Sector Bank,3 Years,7.2,,3.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
RBL Bank,Private Sector Bank,5 Years,6.7,,5.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
South Indian Bank,Private Sector Bank,Highest published slab,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
South Indian Bank,Private Sector Bank,1 Year,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
South Indian Bank,Private Sector Bank,3 Years,,,3.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
South Indian Bank,Private Sector Bank,5 Years,,,5.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Tamilnad Mercantile Bank,Private Sector Bank,Highest published slab,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Tamilnad Mercantile Bank,Private Sector Bank,1 Year,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Tamilnad Mercantile Bank,Private Sector Bank,3 Years,,,3.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Tamilnad Mercantile Bank,Private Sector Bank,5 Years,,,5.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
YES Bank,Private Sector Bank,Highest published slab,7.25,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
YES Bank,Private Sector Bank,1 Year,6.65,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
YES Bank,Private Sector Bank,3 Years,7.0,,3.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
YES Bank,Private Sector Bank,5 Years,6.75,,5.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
IDBI Bank,Private Sector Bank,Highest published slab,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
IDBI Bank,Private Sector Bank,1 Year,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
IDBI Bank,Private Sector Bank,3 Years,,,3.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
IDBI Bank,Private Sector Bank,5 Years,,,5.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
AU Small Finance Bank,Small Finance Bank,Highest published slab,7.4,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
AU Small Finance Bank,Small Finance Bank,1 Year,6.35,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
AU Small Finance Bank,Small Finance Bank,3 Years,7.4,,3.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
AU Small Finance Bank,Small Finance Bank,5 Years,6.75,,5.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Capital Small Finance Bank,Small Finance Bank,Highest published slab,7.15,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Capital Small Finance Bank,Small Finance Bank,1 Year,7.0,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Capital Small Finance Bank,Small Finance Bank,3 Years,7.0,,3.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Capital Small Finance Bank,Small Finance Bank,5 Years,6.9,,5.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Equitas Small Finance Bank,Small Finance Bank,Highest published slab,8.0,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Equitas Small Finance Bank,Small Finance Bank,1 Year,7.1,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Equitas Small Finance Bank,Small Finance Bank,3 Years,7.1,,3.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Equitas Small Finance Bank,Small Finance Bank,5 Years,7.0,,5.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
ESAF Small Finance Bank,Small Finance Bank,Highest published slab,8.0,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
ESAF Small Finance Bank,Small Finance Bank,1 Year,6.0,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
ESAF Small Finance Bank,Small Finance Bank,3 Years,6.0,,3.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
ESAF Small Finance Bank,Small Finance Bank,5 Years,5.75,,5.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Suryoday Small Finance Bank,Small Finance Bank,Highest published slab,8.25,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Suryoday Small Finance Bank,Small Finance Bank,1 Year,7.25,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Suryoday Small Finance Bank,Small Finance Bank,3 Years,7.25,,3.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Suryoday Small Finance Bank,Small Finance Bank,5 Years,8.25,,5.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Ujjivan Small Finance Bank,Small Finance Bank,Highest published slab,7.8,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Ujjivan Small Finance Bank,Small Finance Bank,1 Year,7.25,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Ujjivan Small Finance Bank,Small Finance Bank,3 Years,7.25,,3.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Ujjivan Small Finance Bank,Small Finance Bank,5 Years,7.2,,5.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Utkarsh Small Finance Bank,Small Finance Bank,Highest published slab,8.1,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Utkarsh Small Finance Bank,Small Finance Bank,1 Year,6.0,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Utkarsh Small Finance Bank,Small Finance Bank,3 Years,7.5,,3.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Utkarsh Small Finance Bank,Small Finance Bank,5 Years,7.0,,5.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
slice Small Finance Bank,Small Finance Bank,Highest published slab,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
slice Small Finance Bank,Small Finance Bank,1 Year,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
slice Small Finance Bank,Small Finance Bank,3 Years,,,3.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
slice Small Finance Bank,Small Finance Bank,5 Years,,,5.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Jana Small Finance Bank,Small Finance Bank,Highest published slab,8.0,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Jana Small Finance Bank,Small Finance Bank,1 Year,7.0,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Jana Small Finance Bank,Small Finance Bank,3 Years,8.0,,3.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Jana Small Finance Bank,Small Finance Bank,5 Years,7.77,,5.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Shivalik Small Finance Bank,Small Finance Bank,Highest published slab,8.0,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Shivalik Small Finance Bank,Small Finance Bank,1 Year,6.0,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Shivalik Small Finance Bank,Small Finance Bank,3 Years,7.5,,3.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Shivalik Small Finance Bank,Small Finance Bank,5 Years,6.25,,5.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Unity Small Finance Bank,Small Finance Bank,Highest published slab,7.5,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Unity Small Finance Bank,Small Finance Bank,1 Year,7.5,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Unity Small Finance Bank,Small Finance Bank,3 Years,6.75,,3.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Unity Small Finance Bank,Small Finance Bank,5 Years,6.75,,5.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
DBS Bank India,Foreign / Other Retail Bank,Highest published slab,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
DBS Bank India,Foreign / Other Retail Bank,1 Year,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
DBS Bank India,Foreign / Other Retail Bank,3 Years,,,3.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
DBS Bank India,Foreign / Other Retail Bank,5 Years,,,5.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
HSBC India,Foreign / Other Retail Bank,Highest published slab,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
HSBC India,Foreign / Other Retail Bank,1 Year,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
HSBC India,Foreign / Other Retail Bank,3 Years,,,3.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
HSBC India,Foreign / Other Retail Bank,5 Years,,,5.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Standard Chartered Bank India,Foreign / Other Retail Bank,Highest published slab,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Standard Chartered Bank India,Foreign / Other Retail Bank,1 Year,,,1.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Standard Chartered Bank India,Foreign / Other Retail Bank,3 Years,,,3.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
Standard Chartered Bank India,Foreign / Other Retail Bank,5 Years,,,5.0,RBI bank universe; current rate not yet verified,https://www.paisabazaar.com/fixed-deposit/,,REVIEW,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
SBM Bank India,Foreign / Other Retail Bank,Highest published slab,7.3,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
SBM Bank India,Foreign / Other Retail Bank,1 Year,7.1,,1.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
SBM Bank India,Foreign / Other Retail Bank,3 Years,7.1,,3.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
SBM Bank India,Foreign / Other Retail Bank,5 Years,7.0,,5.0,Paisabazaar public comparison snapshot; verify bank official page,https://www.paisabazaar.com/fixed-deposit/,03-Sep-2026,MEDIUM,ACTIVE,Final deposit rate depends on exact tenure/slab/customer category. Reverify the chosen FD on the bank official page before booking.
